doc_id,umap_x,umap_y,domain,source_type,review_status,title
2c626d68796542d9985691a87500aef5,0.6018,10.5684,code,arxiv,approved,Efficient AutoML Pipeline Search with Matrix and Tensor Factorization
3606c270b0cb417d935ca54832fbefad,3.2586,11.0810,code,arxiv,approved,High-Level ETL for Semantic Data Warehouses -- Full Version
4e9604bb304847568494201a244f585d,-0.6545,9.7551,code,arxiv,approved,Searching for Programmatic Policies in Semantic Spaces
33320e524e0144c2a14999679e754e5b,0.0572,12.9801,code,arxiv,approved,Evaluating Fine-Tuning Efficiency of Human-Inspired Learning Strategies in Medic
e57d1178156841749530e7845d7015d9,3.0655,9.2233,code,arxiv,approved,Cloud Migration Process A Survey Evaluation Framework and Open Challenges
61bf9c6a5f4a428a9c592522d4d9fc7a,2.2163,12.3520,code,arxiv,approved,Template-Based Graph Clustering
ad4fc9160f8d4decbdb8cc4e55b806b8,0.6648,13.2715,code,arxiv,approved,CMNEROne at SemEval-2022 Task 11: Code-Mixed Named Entity Recognition by leverag
885cda9503f9413aa8a9b554d946f5f8,0.8055,10.1915,code,arxiv,approved,Triplet Loss for Knowledge Distillation
b596cbc253394f9a887f9a798d09c110,-1.9625,9.6044,code,arxiv,approved,RL Fine-Tuning Heals OOD Forgetting in SFT
5dce6c82f52e463ca27562b1fcab3b9c,-0.9853,9.0893,code,arxiv,approved,ACDC: Adaptive Curriculum Planning with Dynamic Contrastive Control for Goal-Con
08ff11af13e34f53af9d40f970fb545a,-1.4609,10.4011,code,arxiv,approved,Exploring Hierarchy-Aware Inverse Reinforcement Learning
27328ba1fa0043f18106944d57a90633,-1.8633,9.7689,code,arxiv,approved,Reward Model Overoptimisation in Iterated RLHF
f13d58af8ab84291af13c94360cb6702,1.9766,8.0481,code,arxiv,approved,Basic Ideas and Tools for Projection-Based Model Reduction of Parametric Partial
a0dc791ac06a4da3a812dc082118fc1e,1.9141,7.3490,code,arxiv,approved,"Any-Precision LLM: Low-Cost Deployment of Multiple, Different-Sized LLMs"
2eafacc80b3a4d4cbda26a1475870633,1.8198,7.1775,code,tavily,approved,GGUF Format: Efficient Storage & Inference for Quantized LLMs
cb5593951e95407cbcb9e0623a2bcf99,1.7856,7.2154,code,arxiv,approved,Pareto-Optimal Quantized ResNet Is Mostly 4-bit
5898b26553b94775945ec89faaa97a0f,1.9221,7.4194,code,arxiv,approved,BitNet v2: Native 4-bit Activations with Hadamard Transformation for 1-bit LLMs
94e4274c83604ac7b09ad442f4704dc7,2.9976,8.3655,code,tavily,approved,[PDF] KVQuant: Towards 10 Million Context Length LLM Inference with KV ...
50519962a6e14767aa5c99f6d85d261c,1.3204,10.5366,code,arxiv,approved,"Multi-Agent LLM Orchestration Achieves Deterministic, High-Quality Decision Supp"
b1f27b4ce3ed4e44b81c79a931b0d5c1,1.5515,9.0375,code,arxiv,approved,Robust short-term memory without synaptic learning
fdf954b42a57459e9f690efe73eb5e1e,2.0273,9.8060,code,arxiv,approved,SecAlign: Defending Against Prompt Injection with Preference Optimization
ca25ca54064a4f6e889abb0034747c5c,1.0309,11.2783,code,arxiv,approved,NEXT-EVAL: Next Evaluation of Traditional and LLM Web Data Record Extraction
b93134562c1f40b782600223c2998dfe,0.2035,13.4284,code,arxiv,hold,Foundations of GenIR
b1e68a9d22e54f7985e70c9ff217481e,-0.6453,12.1662,code,arxiv,approved,Competing Visions of Ethical AI: A Case Study of OpenAI
3be35916abc94deaaf13dfc5fcc21f38,-1.6922,9.5506,code,tavily,approved,[PDF] Constitutional AI: Harmlessness from AI Feedback - arXiv
ff6bdff51d09442b9d09dbc7f0c147e8,-1.5257,9.5791,code,tavily,approved,Constitutional AI: Harmlessness from AI Feedback - arXiv
07e3d56df1e94d54b694cbdf5364a4d5,1.7332,10.7012,code,arxiv,approved,InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feed
38cbe06d20154e2e8b076189f7f350dc,4.7812,9.2276,code,arxiv,approved,Generating API Parameter Security Rules with LLM for API Misuse Detection
ed0d713b576d4b04823067f66140bc1e,2.6004,8.5731,code,arxiv,approved,ELIS: Efficient LLM Iterative Scheduling System with Response Length Predictor
db56097504a8483f9c803a20f6a57996,5.0123,5.2513,code,arxiv,approved,Testing with Jupyter notebooks: NoteBook VALidation (nbval) plug-in for pytest
fadc127db7ee4fada76100e9a51e4b4c,2.5216,7.5362,code,arxiv,approved,Three-Dimensional Triplet Tracking for LHC and Future High Rate Experiments
28d8ffc042e84fcbadc3c4aec1b9ded3,-1.1408,13.4389,code,arxiv,approved,ID-Booth: Identity-consistent Face Generation with Diffusion Models
02a7e33817954cc2b30032e2fd7e9487,4.7515,9.4312,code,arxiv,approved,Amalgamating Different JIT Compilations in a Meta-tracing JIT Compiler Framework
00e7c345f5484b1ca91b4782ae9ec095,-0.7873,14.4027,code,arxiv,approved,Compositional Questions Do Not Necessitate Multi-hop Reasoning
a6a619f9925c41179ed4c0177fc89168,1.4361,10.3560,code,arxiv,needs_update,A Plan Reuse Mechanism for LLM-Driven Agent
5a907390d9b54f0597d67f02a1844360,0.5191,14.2547,code,arxiv,approved,SmartChunk Retrieval: Query-Aware Chunk Compression with Planning for Efficient 
1b3da49ca2ac4add9ac2a76a10fcce44,0.3712,15.1086,code,tavily,approved,Best Chunking Strategies for RAG (and LLMs) in 2026 - Firecrawl
7bb377da1d6e4ca195afec8ab06f011e,1.6054,13.3545,code,arxiv,approved,On Single and Multiple Representations in Dense Passage Retrieval
6d268a414dbb43a79088a4b5ca7709a0,0.5389,12.3450,code,arxiv,hold,Thus Spake Long-Context Large Language Model
87a9d7720ede42e89e39e078454d3132,0.5751,11.3917,code,arxiv,approved,On the Efficacy of Generalization Error Prediction Scoring Functions
4f781c62c8304c25a36761b1302fa24a,0.2446,11.1859,code,tavily,approved,In-Context Learning (ICL) Theory Overview
bdead754c5754b5b92769ee9fc0158d7,-0.9405,10.6280,code,arxiv,approved,GASP: Guided Asymmetric Self-Play For Coding LLMs
a714a2413b1045279bddc3e397e3b04f,-0.9043,10.3246,code,arxiv,hold,SEVerA: Verified Synthesis of Self-Evolving Agents
bd8d30c40ea04334a9db6e29a072b0ab,-0.9254,9.9679,code,arxiv,hold,Less is more -- the Dispatcher/ Executor principle for multi-task Reinforcement 
e9f55dc802414a028d5468af554aebf3,-0.8325,11.2795,code,arxiv,hold,Examining the Emergence of Deductive Reasoning in Generative Language Models
a2275bfc222b4e189b26bdadcd6ed763,1.7605,9.7585,code,arxiv,hold,Evaluating and Understanding the Robustness of Adversarial Logit Pairing
a7a24bec3fc74708aadf3c0ba6323d18,0.3583,10.7217,code,arxiv,hold,Small Sample Learning in Big Data Era
0ae4b54c20174f358b1566c9251676d5,-1.2769,13.2997,code,arxiv,hold,Progressive Growing of Patch Size: Curriculum Learning for Accelerated and Impro
93aab09f59544ba3923a35db5e66b4d1,2.0277,12.4508,code,arxiv,hold,Knowledge Graph Embeddings and Explainable AI
8dcdabceb04444ceac1aa5d9a58c6800,1.3818,11.6142,code,arxiv,hold,Sobolev embeddings with weights in complete riemannian manifolds
02d64faabdac4507bf214a33502ffa16,1.5074,11.6032,code,arxiv,approved,The generalised word problem in hyperbolic and relatively hyperbolic groups
5a072cb81c864950879679990af1124b,0.4418,14.8041,code,tavily,approved,[2305.07303] Multi-Relational Hyperbolic Word Embeddings ... - arXiv
e363a7a11c9142369eec53b8b89d2f87,1.3395,11.7256,code,arxiv,approved,Hyperbolic Interaction Model For Hierarchical Multi-Label Classification
b8ee70175a7446dea4061e63beba7e2a,1.3308,11.6807,code,arxiv,approved,Hyperbolic vs Euclidean Embeddings in Few-Shot Learning: Two Sides of the Same C
acbd36d9909f45409ca32ae11e652463,1.3213,11.7095,code,tavily,approved,[PDF] Geo-Sign: Hyperbolic Contrastive Regularisation for Geometrically ...
55d0f1e694604a54bc51fb446e5d0cf2,1.3319,11.7462,code,tavily,approved,[PDF] Extracting Event Temporal Relations via Hyperbolic Geometry
2e628c4f152e4659b0074abe27e08606,-0.2011,12.9622,code,arxiv,approved,Catch Me If You Can? Not Yet: LLMs Still Struggle to Imitate the Implicit Writin
8f5572c8395944a49bf62326315c1775,-1.9868,12.8779,code,arxiv,approved,An Implicit Physical Face Model Driven by Expression and Style
71057e31939c4ac188a4b5cddc6e543f,0.5757,13.1365,code,arxiv,approved,Writing Style Aware Document-level Event Extraction
6d57571904fa43859675784549bf10ad,0.0436,12.2128,code,tavily,approved,Applied-Machine-Learning-Lab/Awesome-Personalized-RAG-Agent
